Provincia,Pantallas,Butacas,espacio_INCAA
Ciudad Autónoma de Buenos Aires,3,1167,si
Ciudad Autónoma de Buenos Aires,9,1769,
Ciudad Autónoma de Buenos Aires,10,1738,
Ciudad Autónoma de Buenos Aires,1,100,
Ciudad Autónoma de Buenos Aires,2,40,
Ciudad Autónoma de Buenos Aires,7,1270,
Ciudad Autónoma de Buenos Aires,10,2082,
Ciudad Autónoma de Buenos Aires,2,277,
Ciudad Autónoma de Buenos Aires,1,237,
Ciudad Autónoma de Buenos Aires,5,1263,si
Ciudad Autónoma de Buenos Aires,1,30,
Ciudad Autónoma de Buenos Aires,5,770,
Ciudad Autónoma de Buenos Aires,10,1776,
Ciudad Autónoma de Buenos Aires,8,2314,
Buenos Aires,1,1200,si
Buenos Aires,1,350,SI
Buenos Aires,1,133,si
Buenos Aires,1,915,si
Buenos Aires,1,264,si
Buenos Aires,1,289,SI
Buenos Aires,12,2580,
Buenos Aires,1,500,
Buenos Aires,5,969,
Buenos Aires,9,2382,
Buenos Aires,10,2414,
Buenos Aires,6,1843,
Buenos Aires,2,350,
Buenos Aires,1,483,
Buenos Aires,2,556,
Buenos Aires,1,450,
Buenos Aires,6,1327,
Buenos Aires,7,1501,
Buenos Aires,2,744,
Buenos Aires,1,500,
Buenos Aires,10,2476,
Buenos Aires,1,750,SI
Buenos Aires,3,907,
Buenos Aires,2,120,
Buenos Aires,2,471,
Buenos Aires,4,687,
Buenos Aires,6,1895,
Buenos Aires,1,160,
Buenos Aires,2,489,
Buenos Aires,3,1563,
Buenos Aires,1,190,
Buenos Aires,1,902,
Buenos Aires,2,635,
Buenos Aires,1,1107,
Buenos Aires,4,603,
Buenos Aires,1,270,
Buenos Aires,6,1613,
Buenos Aires,1,174,si
Buenos Aires,1,245,
Buenos Aires,7,2184,
Buenos Aires,3,1620,
Buenos Aires,2,501,
Buenos Aires,1,160,
Buenos Aires,8,1905,
Buenos Aires,4,947,
Buenos Aires,1,230,SI
Buenos Aires,14,3890,
Buenos Aires,17,4214,
Buenos Aires,3,413,
Buenos Aires,2,40,
Buenos Aires,6,1132,
Buenos Aires,6,1275,
Buenos Aires,2,551,
Buenos Aires,10,2505,
Buenos Aires,1,378,
Buenos Aires,1,300,si
Buenos Aires,8,1730,
Buenos Aires,1,350,
Buenos Aires,4,758,
Buenos Aires,9,2675,
Buenos Aires,16,3427,
Buenos Aires,1,400,
Buenos Aires,1,700,
Buenos Aires,2,487,
Buenos Aires,1,450,si
Buenos Aires,6,1114,
Buenos Aires,1,0,
Buenos Aires,8,2037,
Buenos Aires,1,430,si
Catamarca,1,1103,si
Buenos Aires,1,390,SI
